transaction_id,transaction_amount,hour_of_day,country,merchant_category,days_since_last_txn,txn_velocity_24h,distance_from_home_km,new_merchant,card_present,city,bank,province,is_fraud
TXN000001,56.51,19,Canada,Travel,3,1,28.8,0,1,Montreal,RBC,BC,0
TXN000002,46.79,14,Canada,Gas Station,7,4,39.6,0,1,Toronto,TD,QC,0
TXN000003,53.27,14,Canada,Travel,2,1,9.5,0,1,Calgary,National Bank,QC,0
TXN000004,155.04,8,Canada,Gas Station,8,1,16.8,0,1,Ottawa,Scotiabank,QC,0
TXN000005,186.44,3,Canada,Online Shopping,1,5,398.9,1,0,Edmonton,Scotiabank,NB,1
TXN000006,14.73,15,Canada,Online Shopping,3,3,42.3,0,1,Winnipeg,National Bank,NB,0
TXN000007,229.07,9,Canada,Restaurant,3,1,37.4,1,1,Ottawa,Scotiabank,ON,0
TXN000008,10.91,7,Canada,Entertainment,1,3,27.3,0,1,Brampton,TD,BC,0
TXN000009,59.03,11,Canada,Retail,6,2,39.2,1,1,Calgary,Scotiabank,NS,0
TXN000010,23.82,18,Canada,Online Shopping,7,2,26.4,0,0,Hamilton,CIBC,BC,0
TXN000011,60.54,8,Canada,Retail,5,3,20.4,0,1,Toronto,National Bank,MB,0
TXN000012,38.75,14,Canada,Retail,8,2,37.0,0,1,Toronto,TD,QC,0
TXN000013,229.79,1,USA,Gas Station,1,7,529.5,1,1,Toronto,Scotiabank,QC,1
TXN000014,121.57,16,Canada,Grocery,6,3,25.8,0,1,Montreal,National Bank,MB,0
TXN000015,89.76,10,UK,Healthcare,5,2,10.6,0,1,Brampton,CIBC,AB,0
TXN000016,69.47,14,Canada,ATM Withdrawal,9,1,10.2,0,1,Edmonton,TD,MB,0
TXN000017,272.52,23,USA,Online Shopping,1,6,3806.0,1,1,Calgary,Scotiabank,SK,1
TXN000018,4.87,11,Canada,Restaurant,7,1,9.7,0,1,Edmonton,Scotiabank,ON,0
TXN000019,2.2,13,Canada,Grocery,6,1,21.6,0,1,Ottawa,Scotiabank,BC,0
TXN000020,17.83,16,Canada,Restaurant,4,2,10.3,0,1,Winnipeg,National Bank,NS,0
TXN000021,89.18,8,UK,Grocery,1,2,38.2,1,1,Toronto,National Bank,QC,0
TXN000022,224.19,17,Canada,Gas Station,8,1,35.6,0,1,Mississauga,CIBC,ON,0
TXN000023,23.63,13,Canada,Retail,2,4,28.5,1,1,Vancouver,TD,QC,0
TXN000024,99.77,12,Canada,Restaurant,3,1,10.7,0,1,Toronto,BMO,BC,0
TXN000025,70.74,15,Canada,Restaurant,8,2,20.8,1,1,Calgary,National Bank,NB,0
TXN000026,34.51,13,Canada,Online Shopping,7,2,11.3,1,1,Ottawa,RBC,NS,0
TXN000027,64.14,9,Canada,Healthcare,3,4,3.4,1,1,Hamilton,RBC,MB,0
TXN000028,46.29,15,Canada,Online Shopping,4,4,46.9,0,1,Brampton,TD,QC,0
TXN000029,28.88,9,Canada,Retail,4,3,1.3,0,1,Vancouver,BMO,ON,0
TXN000030,37.16,10,USA,Retail,6,2,10.2,0,1,Toronto,BMO,QC,0
TXN000031,106.48,16,Canada,Travel,8,2,46.1,1,1,Mississauga,TD,NS,0
TXN000032,150.58,19,Canada,Retail,6,2,39.9,0,1,Montreal,Desjardins,NB,0
TXN000033,51.72,16,Canada,Online Shopping,7,1,36.7,0,1,Vancouver,CIBC,SK,0
TXN000034,77.14,15,Canada,ATM Withdrawal,3,3,5.2,0,0,Montreal,TD,AB,0
TXN000035,21.72,11,Canada,Grocery,5,1,5.3,0,0,Calgary,Scotiabank,SK,0
TXN000036,293.29,11,Canada,Gas Station,1,4,25.4,0,1,Edmonton,BMO,BC,0
TXN000037,53.26,13,Canada,Restaurant,1,1,23.7,0,0,Hamilton,CIBC,MB,0
TXN000038,37.25,21,Canada,Grocery,9,2,12.3,1,1,Brampton,CIBC,NB,0
TXN000039,169.16,8,Canada,Grocery,5,4,27.4,0,0,Calgary,TD,BC,0
TXN000040,211.95,10,Canada,Online Shopping,4,2,9.2,0,1,Edmonton,CIBC,ON,0
TXN000041,24.95,12,Canada,Restaurant,6,1,29.9,0,1,Winnipeg,CIBC,MB,0
TXN000042,62.02,9,Canada,Restaurant,1,3,10.4,1,1,Brampton,BMO,QC,0
TXN000043,23.64,11,UK,Travel,1,1,17.3,0,0,Winnipeg,TD,QC,0
TXN000044,264.79,12,Canada,Grocery,8,1,33.6,0,0,Calgary,RBC,MB,0
TXN000045,87.65,12,Canada,Retail,4,4,36.3,0,1,Winnipeg,TD,NB,0
TXN000046,49.73,8,UK,Retail,2,3,0.9,1,1,Edmonton,Scotiabank,NS,0
TXN000047,336.61,10,Canada,Restaurant,7,3,48.4,0,1,Calgary,RBC,SK,0
TXN000048,63.79,9,Canada,Grocery,5,3,6.2,0,0,Hamilton,BMO,BC,0
TXN000049,40.63,15,France,Retail,8,1,33.7,0,1,Hamilton,Scotiabank,BC,0
TXN000050,87.44,14,Canada,Entertainment,2,3,31.7,0,1,Brampton,BMO,NS,0
TXN000051,16.28,13,Canada,Retail,7,2,46.4,0,1,Calgary,Desjardins,AB,0
TXN000052,63.83,14,Canada,Restaurant,1,2,43.1,0,1,Hamilton,RBC,BC,0
TXN000053,16.41,8,Canada,Restaurant,6,1,9.5,0,0,Toronto,TD,ON,0
TXN000054,35.64,12,UK,Grocery,3,2,6.8,0,0,Brampton,National Bank,BC,0
TXN000055,143.74,11,Canada,Grocery,5,4,44.6,1,1,Montreal,Scotiabank,QC,0
TXN000056,45.58,10,Canada,ATM Withdrawal,9,2,23.7,0,1,Calgary,BMO,MB,0
TXN000057,54.1,12,Canada,Retail,3,3,43.5,1,1,Ottawa,TD,QC,0
TXN000058,158.48,15,Canada,Retail,7,4,20.5,0,1,Montreal,National Bank,NS,0
TXN000059,554.86,9,Canada,Online Shopping,0,2,42.6,0,0,Mississauga,BMO,QC,0
TXN000060,15.21,11,Canada,ATM Withdrawal,2,3,47.3,0,1,Edmonton,Scotiabank,QC,0
TXN000061,329.78,15,Mexico,Grocery,7,1,12.7,0,1,Mississauga,National Bank,SK,0
TXN000062,92.66,16,Canada,Entertainment,9,1,48.2,0,1,Toronto,Desjardins,NS,0
TXN000063,97.85,10,Canada,Retail,3,2,34.8,0,1,Hamilton,National Bank,QC,0
TXN000064,23.18,8,Canada,Retail,1,4,31.5,0,0,Winnipeg,BMO,NB,0
TXN000065,39.27,8,Canada,Online Shopping,5,3,37.2,0,1,Montreal,Scotiabank,MB,0
TXN000066,80.54,11,Canada,Healthcare,4,3,1.2,0,0,Hamilton,TD,BC,0
TXN000067,80.88,10,Canada,Restaurant,2,3,11.9,1,1,Mississauga,Desjardins,ON,0
TXN000068,122.8,10,Canada,Travel,3,1,26.0,0,1,Hamilton,RBC,SK,0
TXN000069,3230.91,23,Romania,Gas Station,0,7,3048.2,0,0,Edmonton,BMO,QC,1
TXN000070,30.41,9,USA,Gas Station,3,4,3.5,0,1,Ottawa,BMO,NB,0
TXN000071,107.4,11,Canada,Grocery,5,1,40.6,1,0,Montreal,Scotiabank,NB,0
TXN000072,56.08,11,Canada,Restaurant,6,2,42.6,1,1,Edmonton,TD,SK,0
TXN000073,27.15,12,Canada,Restaurant,1,3,24.9,0,1,Vancouver,RBC,AB,0
TXN000074,30.51,12,Canada,ATM Withdrawal,0,1,16.8,0,1,Toronto,TD,QC,0
TXN000075,41.92,13,Canada,Retail,7,3,40.8,0,1,Edmonton,RBC,NS,0
TXN000076,30.5,9,USA,Retail,8,2,29.6,0,1,Edmonton,National Bank,ON,0
TXN000077,141.41,15,Canada,Entertainment,7,3,35.4,1,1,Mississauga,RBC,QC,0
TXN000078,198.95,10,Canada,Retail,6,1,2.4,1,1,Winnipeg,Desjardins,QC,0
TXN000079,19.74,16,Canada,Utilities,9,4,23.5,0,1,Calgary,CIBC,MB,0
TXN000080,46.87,11,Canada,ATM Withdrawal,2,3,44.0,0,1,Edmonton,RBC,ON,0
TXN000081,517.09,0,USA,Online Shopping,0,3,2267.6,1,0,Mississauga,National Bank,BC,1
TXN000082,294.14,10,Canada,Retail,4,1,28.0,0,0,Calgary,BMO,QC,0
TXN000083,57.32,8,Canada,Grocery,5,4,28.7,0,1,Toronto,RBC,MB,0
TXN000084,56.84,14,Canada,Retail,8,1,19.4,0,1,Hamilton,National Bank,NS,0
TXN000085,27.58,16,Canada,Restaurant,3,3,25.7,0,1,Hamilton,CIBC,MB,0
TXN000086,103.08,13,Canada,Restaurant,7,3,8.5,0,1,Winnipeg,TD,AB,0
TXN000087,52.7,14,Canada,ATM Withdrawal,9,4,9.1,0,1,Edmonton,Scotiabank,QC,0
TXN000088,17.16,10,Canada,Online Shopping,5,3,30.7,0,1,Mississauga,Desjardins,MB,0
TXN000089,25.11,9,Canada,Online Shopping,4,1,22.6,1,1,Winnipeg,RBC,QC,0
TXN000090,35.71,1,Unknown,Retail,0,12,618.7,1,0,Montreal,Desjardins,ON,1
TXN000091,32.32,8,Canada,Restaurant,1,1,8.7,1,1,Toronto,CIBC,NB,0
TXN000092,133.66,12,Canada,Restaurant,1,3,14.5,0,1,Edmonton,BMO,NB,0
TXN000093,19.24,14,Canada,Restaurant,7,4,47.4,1,0,Winnipeg,CIBC,ON,0
TXN000094,26.23,14,Canada,Grocery,0,4,49.0,0,1,Montreal,RBC,MB,0
TXN000095,19.64,10,Canada,Restaurant,2,2,11.1,0,1,Ottawa,CIBC,NS,0
TXN000096,49.86,15,Canada,Gas Station,0,1,14.1,0,1,Edmonton,TD,NB,0
TXN000097,63.71,12,Canada,Retail,3,4,48.9,0,1,Brampton,Scotiabank,SK,0
TXN000098,87.83,15,UK,Grocery,3,1,43.9,1,1,Winnipeg,BMO,NB,0
TXN000099,464.79,20,Canada,Restaurant,4,2,40.5,0,1,Ottawa,TD,AB,0
TXN000100,133.01,7,Mexico,ATM Withdrawal,9,2,42.1,1,1,Mississauga,National Bank,BC,0
TXN000101,31.32,11,Canada,Healthcare,2,1,14.4,0,1,Montreal,RBC,SK,0
TXN000102,33.46,18,Canada,Gas Station,9,1,12.5,1,1,Calgary,RBC,SK,0
TXN000103,67.44,13,Canada,Grocery,4,3,18.5,0,1,Winnipeg,RBC,MB,0
TXN000104,57.82,11,Canada,Restaurant,9,1,0.9,0,0,Montreal,CIBC,SK,0
TXN000105,20.06,14,Canada,ATM Withdrawal,2,3,8.0,0,1,Brampton,TD,NS,0
TXN000106,15.14,11,USA,Grocery,8,1,21.3,0,1,Calgary,Desjardins,QC,0
TXN000107,36.08,7,UK,Gas Station,8,1,12.7,0,1,Hamilton,TD,NB,0
TXN000108,10.9,12,Canada,Retail,7,3,39.5,0,1,Mississauga,Desjardins,AB,0
TXN000109,143.96,12,Canada,Restaurant,7,1,49.8,1,1,Vancouver,CIBC,AB,0
TXN000110,165.66,23,Canada,ATM Withdrawal,0,9,3497.3,1,0,Mississauga,TD,QC,1
TXN000111,83.25,10,Canada,Retail,1,2,11.7,0,1,Edmonton,Scotiabank,AB,0
TXN000112,57.97,14,Canada,Online Shopping,7,2,43.7,1,1,Toronto,BMO,ON,0
TXN000113,29.95,11,Canada,Restaurant,6,2,37.2,0,1,Ottawa,CIBC,NB,0
TXN000114,100.64,10,Canada,Grocery,4,4,47.9,0,1,Brampton,Desjardins,SK,0
TXN000115,80.2,9,Canada,Online Shopping,8,1,47.8,0,1,Ottawa,BMO,NS,0
TXN000116,82.12,7,Canada,Grocery,5,2,35.0,0,1,Ottawa,RBC,NB,0
TXN000117,22.18,11,Canada,Retail,9,3,18.3,0,0,Edmonton,RBC,QC,0
TXN000118,108.12,10,Canada,Travel,1,2,31.6,0,1,Mississauga,Scotiabank,SK,0
TXN000119,105.01,12,Canada,Grocery,1,1,32.3,0,0,Hamilton,CIBC,QC,0
TXN000120,38.3,12,Canada,Entertainment,2,3,28.8,0,1,Hamilton,RBC,MB,0
TXN000121,119.56,15,Canada,Grocery,2,4,48.3,1,1,Vancouver,BMO,QC,0
TXN000122,36.13,16,Canada,Online Shopping,0,1,38.2,0,1,Toronto,National Bank,QC,0
TXN000123,23.96,21,Canada,Retail,7,2,25.5,0,1,Mississauga,TD,NB,0
TXN000124,5.67,16,Canada,Gas Station,3,4,14.6,1,1,Edmonton,National Bank,NS,0
TXN000125,19.33,16,Canada,Online Shopping,4,4,38.6,1,1,Hamilton,CIBC,QC,0
TXN000126,16.27,9,Canada,Healthcare,7,4,20.1,1,1,Hamilton,RBC,AB,0
TXN000127,12.49,19,Canada,Restaurant,5,3,47.2,0,1,Calgary,Scotiabank,QC,0
TXN000128,102.66,12,Canada,Grocery,6,2,3.6,1,0,Ottawa,BMO,SK,0
TXN000129,38.18,12,Canada,Retail,1,4,5.2,0,1,Ottawa,RBC,BC,0
TXN000130,91.7,19,Canada,Retail,5,4,49.0,0,1,Montreal,Desjardins,NB,0
TXN000131,46.83,11,Canada,Grocery,7,3,45.3,1,1,Edmonton,National Bank,NS,0
